status,name,description
5,"Ледяной Гигант","База на Европе, изучающая подледный океан. Обнаружены микроорганизмы с кремниевой ДНК. Станция периодически теряет связь из-за «движения подо льдом»."
5,"Последний Рубеж","Пограничный форпост на краю освоенного пространства. Отправная точка для экспедиций в неизвестность. 70% кораблей отсюда не возвращаются."
2,"Ковчег","Хранилище ДНК всех земных видов. Управляется ИИ, который решает, кто достоин возрождения. В криокамерах спят 5000 «избранных»."
4,"Рагнарёк","Бывший военный завод, теперь — убежище для изгоев. Заражен нанороботами, оставшимися после войны. Выжившие мутируют в киборгов."
3,"Зеркало","Станция-невидимка с активным камуфляжем. Используется для шпионажа за инопланетными цивилизациями. Координаты известны только Совету Земли."
4,"Пламя Прометея","Экспериментальный термоядерный реактор. В 2145 году произошел взрыв, но станция все еще излучает энергию. Радиационные призраки мелькают в коридорах."
2,"Титан-9","Добывает метан из озер Титана. Работает в условиях -180°C. Экипаж живет в подкупольных биомах с искусственным солнцем."
5,"Пустошь","Заброшенная станция в поясе Койпера. Обнаружены следы неизвестного языка на стенах. Компьютеры фиксируют «дыхание» в пустых отсеках."
1,"Эдем","Биологический рай с земной флорой и фауной. Ученые пытаются создать идеальную экосистему. Последние растения начали выделять нервно-паралитический токсин."
2,"Фобос-13","Военная база на спутнике Марса. Хранит арсенал кинетического оружия. В 2160 году здесь произошел мятеж — станция до сих пор на автономном режиме."
4,"Клинок","Тренировочный центр для космических морпехов. Имитирует бои в условиях нулевой гравитации. 95% курсантов не выдерживают нагрузок."
3,"Матрица","Серверная ферма для виртуальных вселенных. Здесь работают «аватары» — загруженные сознания умерших. Иногда они «просыпаются» и пытаются сбежать."
5,"Призрак","Станция, вышедшая из варп-пространства с мертвым экипажем. На стенах — следы когтей. Записи в логах: «Они были здесь до нас»."
4,"Генератор","Производит антиматерию для межзвездных кораблей. Один грамм топлива стоит как целая колония. Диверсии здесь — главная угроза."
3,"Хронос","Исследует временные аномалии вблизи нейтронной звезды. Ученые утверждают, что видели свои собственные копии. Время на станции течет на 3% медленнее."
2,"Омега","Последнее пристанище для неизлечимо больных. Пациенты добровольно переводят сознание в цифровую форму. Их голоса до сих пор звучат в радиопомехах."
3,"Ангел","Спасательная станция для терпящих бедствие кораблей. Экипаж — врачи-андроиды. Говорят, они иногда «спасают» здоровых людей против их воли."
1,"Бездна","Подводная база в океане Энцелада. Изучает гидротермальные источники. Камеры фиксируют огромные тени в воде — в 10 раз крупнее любых известных существ."
3,"Феникс","Станция, пережившая ядерную атаку. Восстановлена экипажем-мутантами. Они называют себя «Дети Радиации» и поклоняются реактору."
5,"Молчание","Научный пост в зоне радиотишины. Все радиоволны здесь гаснут. Ученые слышат только биение собственных сердец... и иногда — чьи-то шаги в пустых модулях."
3,"Коготь","Пиратская верфь, строящая корабли из украденных деталей. Капитаны платят за услуги криптовалютой или органами. Здесь нет законов — только сила."
4,"Сфинкс","Археологическая станция на Марсе. Изучает артефакты погибшей цивилизации. После вскрытия «Черного Куба» 5 ученых сошли с ума."
1,"Вихрь","Метеорологический центр в атмосфере Юпитера. Выдерживает ветра скоростью 600 км/ч. Данные показывают странные упорядоченные структуры в облаках."
2,"Зеро","Эксперимент по созданию абсолютного вакуума. Внутри камеры — пространство с температурой -273.15°C. Иногда там появляются «трещины»."
5,"Икар","Солнечный парусник, движущийся к Альфе Центавра. Экипаж в анабиозе. Последний сигнал: «Что-то село на парус»."
2,"Гроза","Военная станция с электромагнитными пушками. Может уничтожить город с орбиты. Командир имеет код доступа к ядерному арсеналу Земли."
2,"Лабиринт","Психологический эксперимент: 1000 добровольцев заблудились в бесконечных коридорах. Станция расширяется сама — или это иллюзия?"
4,"Странник","Автономная станция-разведчик. Исследует границы Солнечной системы. Передает странные сигналы на частоте, которую не может генерировать."
5,"Колыбель","Инкубатор для искусственных людей. Клоны выращиваются за 3 месяца. Некоторые помнят «прошлые жизни», которых у них не было."
5,"Эхо","Записывает космическое радиоизлучение. В 2157 году поймала сигнал, идентичный земному, но на 2 секунды в будущем. Источник неизвестен."
4,"Клык","Биомеханическая станция по созданию киборгов. Добровольцы теряют человечность, но получают сверхспособности. Многие сходят с ума от «фантомных конечностей»."
3,"Предел","Испытывает двигатели на темной материи. Ученые исчезают при контакте с топливом. В журналах: «Они не умирают — они перестают существовать»."
4,"Врата","Строит искусственную червоточину. Пока удалось создать отверстие диаметром 1 см. Через него видно... что-то, наблюдающее за нами."
1,"Крик","Психологическая помощь для космонавтов. Пациенты жалуются на одни и те же кошмары о «черных фигурах за стеклом». Лекарства не помогают."
1,"Оракул","Предсказывает будущее с помощью квантовых вычислений. Все прогнозы сбываются, но их расшифровка убивает того, кто их прочитал."
5,"Шепот","Изучает инопланетные радиосигналы. В 2149 году получила сообщение: «Мы вас нашли». Координаты отправителя указывали на пустоту в созвездии Лиры."
2,"Костёр","Станция-крематорий для умерших в космосе. Пепел запускается в открытый космос. Говорят, иногда пепел складывается в странные узоры."
4,"Молот","Ремонтная верфь для боевых кораблей. Рабочие находят «лишние» детали в собранных кораблях. Те потом исчезают в неизвестных условиях."
3,"Зов","Принимает сигналы от потерянных колоний. В 2162 году получила голосовое сообщение: «Не летите сюда». Сигнал шел с заброшенной станции «Надежда»."
5,"Ржавчина","Заброшенная корпоративная станция. Заражена наноплесенью, пожирающей металл. Охотники за технологиями рискуют жизнью ради артефактов."
3,"Тень Земли","Скрывается от Земли на темной стороне Луны. Используется для наблюдения за инопланетными угрозами. В 2156 году зафиксировала 17 неопознанных объектов, вошедших в атмосферу."
1,"Некромант","Станция по изучению смерти в условиях космоса. Трупы здесь оживляют с помощью нейроимплантов. Некоторые «ожившие» утверждают, что видели загробный мир."
5,"Гефсимания","Религиозная колония, ожидающая апокалипсиса. Жители добровольно отказались от технологий. Последняя передача: «Ангелы пришли — они не такие, как в Библии»."
5,"Вампир","Добывает гелий-3 из атмосферы Урана. Экипаж страдает от «космической анемии» — постоянной усталости и светобоязни. Врачи подозревают мутацию крови."
2,"Цербер","Охраняет вход в запретный сектор X-12. Вооружена автономными боевыми дронами. Никто не знает, что находится внутри сектора — те, кто подходил близко, исчезали."
4,"Скальпель","Медицинский центр по генетической модификации. Здесь создают «улучшенных» людей. Последняя партия субъектов развила телепатию, но сошла с ума через 72 часа."
3,"Маяк","Передает навигационные сигналы через всю систему. Его импульсы иногда содержат скрытые сообщения. Кто-то использует станцию как передатчик."
4,"Колосс","Строительная верфь для поколенческих кораблей. Рабочие жалуются на «призраков» — фигуры в скафандрах, которые наблюдают за строительством."
2,"Пандемониум","Психиатрическая лечебница для космонавтов с «синдромом космического безумия». Пациенты рисуют одни и те же символы на стенах. Врачи начинают видеть те же символы во сне."
5,"Терминатор","Станция на границе дня и ночи Меркурия. Изучает экстремальные перепады температур. В тенистой зоне обнаружены структуры, похожие на руины."
1,"Фата-Моргана","Экспериментирует с голографическими мирами. Некоторые добровольцы отказываются возвращаться в реальность. Их сознание остается в симуляции."
2,"Склеп","Хранилище для опасных артефактов внеземного происхождения. Самый охраняемый объект — «Черный Монолит» весом 12 тонн. Он... вибрирует в полнолуние."
4,"Прометей-9","Дочерняя станция Прометея-7. Разрабатывает нанороботов для ремонта кораблей в открытом космосе. Последняя партия роботов не ответила на команды."
3,"Одержимость","Исследует случаи «космического одержимения» — когда астронавты утверждают, что ими кто-то управляет. В камерах видят вспышки неизвестного излучения."
5,"Кентавр","Военно-научная станция на орбите Плутона. Испытывает гиперзвуковое оружие. В 2161 году случайно пробила пространство — появилась трещина, которая не исчезает."
4,"Сфинкс-2","Продолжение исследований марсианских артефактов. Обнаружен новый объект — пирамида с идеальными гранями. Внутри пустота, нарушающая законы физики."
3,"Прилив","Гидропоническая ферма на Титане. Выращивает генномодифицированные культуры. Последний урожай начал двигаться... без нервной системы."
2,"Метроном","Синхронизирует время на всех станциях. После аварии 2159 года часы здесь иногда идут назад. Техники слышат тиканье из пустых коридоров."
3,"Некрополь","Кладбище кораблей в поясе астероидов. Мародеры ищут здесь технологии. Многие пропадают, утверждая, что «корабль-призрак» забирает их."
1,"Квазар","Изучает излучение далеких галактик. В 2160 году поймала сигнал, идентичный Большому Взрыву... но шедший со стороны Земли."
3,"Гидра","Подводная станция в океане Европы. Обнаружила колонию микроорганизмов, способных сливаться в сложные структуры. Они реагируют на человеческую речь."
5,"Феникс-2","Восстановленная версия станции «Феникс». Мутанты-обитатели развили способность к регенерации. Они называют станцию «Новой Плотью»."
